iter	Passed	Remaining
133	57767	157782
134	58192	157334
135	58675	157042
136	59078	156537
137	59491	156057
138	59928	155642
139	60330	155136
140	60731	154627
141	61131	154121
142	61546	153651
143	61989	153251
144	62410	152798
145	62843	152374
146	63303	152014
147	63745	151610
148	64227	151300
149	64693	150950
150	65112	150490
151	65596	150181
152	66044	149787
153	66465	149331
154	66860	148819
155	67277	148354
156	67756	148028
157	68224	147675
158	68632	147192
159	69081	146798
160	69553	146452
161	69974	145996
162	70385	145521
163	70839	145134
164	71254	144669
165	71661	144186
166	72111	143791
167	72536	143345
168	73000	142976
169	73426	142534
170	73892	142167
171	74288	141667
172	74724	141242
173	75099	140703
174	75592	140386
175	76044	139990
176	76542	139679
177	76995	139283
178	77424	138845
179	77884	138462
180	78288	137977
181	78797	137678
182	79218	137224
183	79667	136820
184	80070	136335
185	80501	135901
186	80927	135455
187	81349	135005
188	81762	134540
189	82167	134062
190	82673	133748
191	83082	133278
192	83508	132834
193	83895	132330
194	84301	131856
195	84701	131373
196	85083	130864
197	85458	130345
198	85913	129950
199	86315	129473
200	86772	129078
201	87223	128675
202	87626	128202
203	88054	127765
204	88486	127333
205	88948	126945
206	89389	126527
207	89766	126018
208	90183	125566
209	90627	125151
210	91029	124680
211	91435	124214
212	91784	123671
213	92249	123287
214	92665	122836
215	93059	122356
216	93519	121963
217	93951	121533
218	94409	121137
219	94807	120664
220	95252	120251
221	95727	119875
222	96192	119485
223	96596	119020
224	97026	118587
225	97373	118054
226	97746	117554
227	98238	117196
228	98672	116769
229	99109	116345
230	99509	115878
231	99940	115448
232	100348	114991
233	100777	114559
234	101180	114097
235	101609	113664
236	102045	113240
237	102491	112826
238	102925	112399
239	103368	111982
240	103765	111515
241	104226	111116
242	104614	110641
243	105034	110199
244	105501	109807
245	105976	109422
246	106419	109004
247	106930	108654
248	107319	108181
249	107756	107756
250	108238	107375
251	108686	106961
252	109096	106509
253	109499	106050
254	109936	105625
255	110407	105232
256	110849	104811
257	111267	104367
258	111753	103986
259	112182	103553
260	112620	103127
261	113107	102746
262	113545	102320
263	113984	101894
264	114412	101460
265	114852	101035
266	115263	100585
267	115758	100208
268	116186	99773
269	116644	99363
270	117069	98925
271	117495	98489
272	117937	98065
273	118383	97644
274	118878	97264
275	119311	96832
276	119789	96436
277	120194	95982
278	120659	95576
279	121058	95117
280	121543	94725
281	121974	94292
282	122434	93881
283	122874	93454
284	123317	93029
285	123759	92603
286	124177	92159
287	124645	91752
288	125089	91328
289	125517	90891
290	125987	90485
291	126420	90052
292	126836	89608
293	127254	89164
294	127673	88722
295	128059	88257
296	128493	87825
297	128959	87415
298	129379	86974
299	129781	86520
300	130228	86097
301	130690	85684
302	131125	85253
303	131559	84820
304	131980	84380
305	132417	83951
306	132845	83515
307	133277	83081
308	133709	82648
309	134085	82181
310	134521	81751
311	134924	81300
312	135382	80883
313	135810	80448
314	136183	79980
315	136587	79531
316	137016	79097
317	137465	78675
318	137911	78250
319	138355	77825
320	138758	77376
321	139257	76980
322	139648	76525
323	140025	76063
324	140462	75633
325	140903	75206
326	141389	74802
327	141857	74388
328	142302	73962
329	142739	73532
330	143197	73113
331	143671	72701
332	144107	72269
333	144552	71843
334	145022	71428
335	145468	71002
336	145878	70558
337	146345	70142
338	146783	69711
339	147215	69277
340	147630	68836
341	148059	68401
342	148519	67981
343	148914	67530
344	149378	67112
345	149844	66693
346	150333	66285
347	150759	65848
348	151147	65396
349	151548	64949
350	151944	64500
351	152372	64065
352	152792	63627
353	153256	63207
354	153707	62782
355	154118	62339
356	154515	61892
357	154917	61447
358	155408	61037
359	155857	60611
360	156364	60206
361	156783	59768
362	157221	59336
363	157572	58873
364	157983	58432
365	158400	57993
366	158835	57561
367	159266	57128
368	159715	56701
369	160177	56278
370	160633	55853
371	161062	55419
372	161476	54979
373	161979	54570
374	162434	54144
375	162935	53733
376	163414	53315
377	163857	52885
378	164327	52463
379	164743	52024
380	165187	51594
381	165623	51161
382	166044	50723
383	166501	50297
384	166915	49857
385	167338	49421
386	167730	48975
387	168142	48536
388	168544	48093
389	168967	47657
390	169362	47213
391	169805	46783
392	170226	46346
393	170656	45912
394	171022	45461
395	171454	45028
396	171902	44599
397	172387	44179
398	172885	43762
399	173349	43337
400	173784	42904
401	174234	42475
402	174657	42039
403	175148	41619
404	175632	41197
405	176028	40755
406	176471	40323
407	176866	39881
408	177295	39447
409	177744	39017
410	178243	38597
411	178736	38176
412	179161	37741
413	179591	37306
414	180070	36881
415	180533	36453
416	180981	36022
417	181422	35590
418	181818	35148
419	182363	34735
420	182825	34306
421	183284	33877
422	183778	33453
423	184217	33020
424	184615	32579
425	185019	32139
426	185460	31706
427	185895	31272
428	186321	30836
429	186718	30395
430	187162	29963
431	187562	29523
432	188032	29095
433	188494	28665
434	188935	28231
435	189368	27797
436	189799	27362
437	190238	26928
438	190737	26503
439	191194	26072
440	191663	25642
441	192079	25205
442	192526	24772
443	193045	24348
444	193477	23912
445	193896	23476
446	194358	23044
447	194763	22606
448	195190	22170
449	195634	21737
450	196061	21301
451	196438	20860
452	196860	20424
453	197287	19989
454	197649	19547
455	198126	19117
456	198555	18682
457	199022	18250
458	199452	17815
459	199873	17380
460	200329	16947
461	200772	16513
462	201187	16077
463	201637	15644
464	202151	15215
465	202598	14781
466	203139	14354
467	203627	13923
468	204035	13486
469	204472	13051
470	204901	12616
471	205390	12184
472	205838	11749
473	206274	11314
474	206726	10880
475	207135	10443
476	207640	10012
477	208084	9577
478	208500	9140
479	208903	8704
480	209344	8269
481	209784	7834
482	210280	7401
483	210803	6968
484	211204	6532
485	211601	6095
486	212021	5659
487	212479	5224
488	212937	4790
489	213383	4354
490	213848	3919
491	214211	3483
492	214642	3047
493	215073	2612
494	215502	2176
495	215902	1741
496	216319	1305
497	216737	870
498	217214	435
499	217646	0
