iter	MultiClass
190	0.6977367848
191	0.6974690126
192	0.6968682044
193	0.6954745696
194	0.6943314247
195	0.6939163107
196	0.69339096
197	0.6929296694
198	0.6927791409
199	0.6925326761
200	0.6919714623
201	0.691650189
202	0.6911822196
203	0.6909664042
204	0.6904615616
205	0.6895015173
206	0.6893547818
207	0.6891748691
208	0.6887456862
209	0.6885076539
210	0.68808409
211	0.6876913427
212	0.6873638183
213	0.686451543
214	0.6860686782
215	0.6856579345
216	0.685349293
217	0.685157075
218	0.6848053836
219	0.6846625012
220	0.6842915997
221	0.6840781893
222	0.6837882473
223	0.6833939588
224	0.6831872227
225	0.6830501485
226	0.682764685
227	0.6826757936
228	0.6824010831
229	0.6820966278
230	0.6817127135
231	0.6815975642
232	0.6814086034
233	0.6811730258
234	0.680870226
235	0.6803419912
236	0.6799250371
237	0.6796069699
238	0.6792497546
239	0.6788196213
240	0.6786247734
241	0.6784513242
242	0.6773685259
243	0.6770622105
244	0.6767145597
245	0.6763968338
246	0.6762396915
247	0.6759065757
248	0.6757447104
249	0.675285214
250	0.6751065828
251	0.6748991912
252	0.6746471962
253	0.6741322086
254	0.673831617
255	0.6736967978
256	0.67340563
257	0.6731723111
258	0.6730795732
259	0.6721156999
260	0.6719685913
261	0.6717463705
262	0.6712539783
263	0.671076021
264	0.6707789597
265	0.6705631016
266	0.6703482607
267	0.6701743106
268	0.6698701709
269	0.6696532019
270	0.6694331006
271	0.6691718544
272	0.6684011505
273	0.6680075383
274	0.6678925103
275	0.6673485184
276	0.6665719556
277	0.6661413202
278	0.6659266546
279	0.6656532647
280	0.6655547175
281	0.6652525975
282	0.6648877964
283	0.6647277327
284	0.6644634741
285	0.6638741198
286	0.6637139641
287	0.66346803
288	0.6632739424
289	0.6631336178
290	0.6627394989
291	0.6624616018
292	0.6621667067
293	0.6616447258
294	0.6611989681
295	0.661017374
296	0.6609336572
297	0.6605780166
298	0.6602920187
299	0.6601034855
300	0.6599332397
301	0.6595841876
302	0.6592618033
303	0.6589942474
304	0.6580891272
305	0.6578494085
306	0.6574713353
307	0.657334603
308	0.6571423317
309	0.6569206673
310	0.6562307323
311	0.6558487266
312	0.6557078442
313	0.6555535225
314	0.6552221975
315	0.6551071098
316	0.6549931385
317	0.6549014015
318	0.6545285992
319	0.6542688691
320	0.6539832476
321	0.6538422283
322	0.6535773834
323	0.6535211012
324	0.6531793395
325	0.6529908436
326	0.6527665447
327	0.6524948884
328	0.6522733809
329	0.6521059307
330	0.6518868319
331	0.6517410333
332	0.6515685666
333	0.6512770869
334	0.6511702595
335	0.6510073416
336	0.6504541076
337	0.6503269805
338	0.6501266321
339	0.6498614592
340	0.6494908753
341	0.6492952736
342	0.6490857781
343	0.6488141306
344	0.6485260423
345	0.6482415709
346	0.6480421126
347	0.6478752148
348	0.6476734105
349	0.647426649
350	0.6471442755
351	0.646997798
352	0.6466751606
353	0.6465580969
354	0.646229577
355	0.6460399522
356	0.645854239
357	0.645395193
358	0.6453604285
359	0.6451093587
360	0.6450300921
361	0.6448937122
362	0.6447227763
363	0.6445716265
364	0.6442793625
365	0.6440067116
366	0.6438030185
367	0.6436736196
368	0.6434622824
369	0.6433184216
370	0.6432056254
371	0.6427545207
372	0.6425955849
373	0.6424102206
374	0.6421805426
375	0.6419619645
376	0.6416181295
377	0.6412260612
378	0.6410030888
379	0.6408073769
380	0.6404788984
381	0.6403776351
382	0.6401953007
383	0.6400049161
384	0.6398635494
385	0.6396734431
386	0.6392355664
387	0.6390138741
388	0.6386799051
389	0.6384074096
390	0.6382118096
391	0.6380220283
392	0.6379576955
393	0.6373666815
394	0.637134342
395	0.6370223062
396	0.6369021259
397	0.63680123
398	0.6367310265
399	0.6365665492
400	0.6364173036
401	0.6361482184
402	0.6359549297
403	0.6358753651
404	0.635814034
405	0.6355180581
406	0.6352303254
407	0.6349017022
408	0.6347003682
409	0.6343548186
410	0.6341694721
411	0.6340266288
412	0.6338472746
413	0.633474102
414	0.6333379905
415	0.6332211508
416	0.633032387
417	0.6326752361
418	0.632543243
419	0.6324241454
420	0.632182794
421	0.6317159059
422	0.631625157
423	0.631544945
424	0.6312077388
425	0.6310157109
426	0.6309166981
427	0.6307013792
428	0.6303954477
429	0.6301318726
430	0.6299176247
431	0.6293507138
432	0.6292274653
433	0.6289719634
434	0.6286779246
435	0.6284551891
436	0.6283460632
437	0.6281323867
438	0.6278890285
439	0.627814457
440	0.6277126701
441	0.6275578062
442	0.6274734447
443	0.6274289169
444	0.6272502939
445	0.6271193149
446	0.6270342295
447	0.6268330476
448	0.6266090364
449	0.6264926445
450	0.6262062398
451	0.6260741801
452	0.6259779981
453	0.625738991
454	0.625616635
455	0.6255678125
456	0.625214518
457	0.625132612
458	0.6250543375
459	0.6248651842
460	0.6245721823
461	0.6243678601
462	0.6240774528
463	0.6239693349
464	0.6237987052
465	0.6237204575
466	0.6235978088
467	0.6235139976
468	0.6231904678
469	0.6230327284
470	0.6228039349
471	0.6226697867
472	0.6225847339
473	0.6224301701
474	0.6222866997
475	0.6221078478
476	0.6220387724
477	0.6218611311
478	0.6217354585
479	0.6215887044
480	0.6214374547
481	0.6213266811
482	0.62122919
483	0.6211545701
484	0.6209147002
485	0.6207233674
486	0.6205771861
487	0.6205068351
488	0.6203661178
489	0.6202380205
490	0.6200100792
491	0.6199223233
492	0.6197460746
493	0.6195621622
494	0.6194513833
495	0.6186968471
496	0.6184901675
497	0.6182892437
498	0.6179282819
499	0.6177164488
