iter	MultiClass
0	2.041647524
1	1.841713868
2	1.753528467
3	1.671496871
4	1.591997969
5	1.52117397
6	1.472326167
7	1.412341852
8	1.357677462
9	1.315826106
10	1.275204914
11	1.23204176
12	1.193490758
13	1.16241965
14	1.139438954
15	1.119628081
16	1.101803482
17	1.075878046
18	1.056887968
19	1.043556451
20	1.03017783
21	1.013799118
22	0.996821719
23	0.9880781149
24	0.9746688262
25	0.9655715241
26	0.9526148032
27	0.9494794246
28	0.9435652408
29	0.9388668205
30	0.9312569716
31	0.9208981989
32	0.9123583077
33	0.9097124217
34	0.9014859029
35	0.8959684218
36	0.889205256
37	0.8837427196
38	0.8784597589
39	0.8761928053
40	0.8733860292
41	0.8719588963
42	0.8683306235
43	0.8683299337
44	0.8642474421
45	0.8584507294
46	0.8544646512
47	0.8517250763
48	0.8497307932
49	0.8487349733
50	0.8456384915
51	0.8426902757
52	0.8421002074
53	0.8392122027
54	0.8352504645
55	0.8340303532
56	0.8314529735
57	0.8286448529
58	0.8262207117
59	0.8254059183
60	0.821528527
61	0.8199868668
62	0.8199866891
63	0.8156540084
64	0.8154317278
65	0.8142598037
66	0.8126917209
67	0.8091419803
68	0.8085702033
69	0.8075448568
70	0.806128557
71	0.8043410763
72	0.8039808281
73	0.8032855558
74	0.8016263448
75	0.8000277735
76	0.7987049984
77	0.7967047281
78	0.7946753063
79	0.7941175137
80	0.7925000413
81	0.7918794368
82	0.7908452053
83	0.7907734888
84	0.7894391499
85	0.7893308591
86	0.7877030875
87	0.7870820807
88	0.7857922276
89	0.7845472037
90	0.7842416829
91	0.7837919743
92	0.7831928335
93	0.7810451107
94	0.7787101451
95	0.7776055948
96	0.7772200537
97	0.7764807895
98	0.7739112577
99	0.7729752703
100	0.7715366196
101	0.7708955823
102	0.7700989324
103	0.768855003
104	0.7682732635
105	0.7675960811
106	0.765242454
107	0.7644612817
108	0.7629741623
109	0.7624435557
110	0.7598743632
111	0.7590670395
112	0.7586170899
113	0.7562111464
114	0.7559200414
115	0.7553467519
116	0.7550703904
117	0.7544332742
118	0.7544331983
119	0.7533077525
120	0.752644752
121	0.7520895194
122	0.7514315292
123	0.7490687373
124	0.7486228055
125	0.7472503708
126	0.7468693292
127	0.7457431486
128	0.7435864602
129	0.7428900961
130	0.7421837511
131	0.7415145116
132	0.7405538338
133	0.7396297002
134	0.7391182248
135	0.7382630125
136	0.7378257887
137	0.7374826832
138	0.7360645657
139	0.7355622918
140	0.7345525282
141	0.733959642
142	0.7323920592
143	0.7310837374
144	0.7296984834
145	0.729138988
146	0.7287444983
147	0.7282286313
148	0.7276855007
149	0.7271168902
150	0.7268184926
151	0.7262970979
152	0.7249068544
153	0.7246938818
154	0.7233641576
155	0.721435021
156	0.7212183548
157	0.7208843819
158	0.7195214379
159	0.717602231
160	0.7171161872
161	0.7164159334
162	0.7159060195
163	0.7153454848
164	0.7147450286
165	0.7138600076
166	0.713585601
167	0.713085087
168	0.7126105111
169	0.7122969544
170	0.7121517038
171	0.7103672383
172	0.7098250784
173	0.7095116831
174	0.7092218407
175	0.7083249061
176	0.7081290824
177	0.7070087013
178	0.7052863012
179	0.7045421249
180	0.704216187
181	0.7039623554
182	0.7035873186
183	0.7026940393
184	0.7011470956
185	0.7007145927
186	0.6997346028
187	0.6989598516
188	0.6984996912
189	0.6981963927
