feature,mi_score
mean_ratio,1.0933884710841935
total_bytes_log,1.0791600565887736
bytes_ratio,1.0790590604428592
total_bytes,1.0749329495732218
sbytes,1.0675444900813345
sbytes_log,1.065927801758593
sbytes_per_pkt,1.0554140567013521
load_ratio,0.9404138152981922
smean,0.8971242826368484
bytes_per_sec_log,0.893768422568562
bytes_per_sec,0.8906373698143961
sload_log,0.8458267558222228
sload,0.8435380885369992
ct_std,0.6517002760308539
ttl_ratio,0.639644878950139
srv_concentration,0.6054008388959438
dbytes,0.6039154205313237
dbytes_log,0.5903976104975532
dbytes_per_pkt,0.5821455038401653
pkts_ratio,0.5780959940545833
ct_mean,0.5490726034682454
ct_sum,0.5488666603840642
rate,0.539308842630212
rate_log,0.5368944847049537
dmean,0.5300469598019522
ct_dst_sport_ltm,0.5258689274762842
pkts_per_sec,0.5235019687016198
dur,0.5159470758162445
ct_srv_dst,0.5154066142307077
total_pkts,0.5067501493416264
intpkt_ratio,0.5061465538321572
ct_state_ttl,0.5055551574727404
dttl,0.5035448115887626
intpkt_diff,0.49358709623247554
service,0.49124543303251134
ct_srv_src,0.49100927219251034
ct_dst_src_ltm,0.4825301793350443
sttl,0.4775001233407359
dinpkt,0.4733234908834367
ltm_ratio,0.47315115905102845
ct_dst_ltm,0.4717558331695484
dpkts,0.47129163228007354
dload,0.4710280269927112
proto,0.47017945313081233
ct_src_dport_ltm,0.46621393108430365
dload_log,0.46237282394364243
sinpkt,0.4344804750491904
ct_max,0.4341194994254698
ct_src_ltm,0.3991677943215657
loss_ratio,0.3885543005857479
synack,0.38720932947695585
spkts,0.3811078005518529
tcprtt,0.3788343363393709
ackdat,0.37496315205961706
total_loss,0.3725008686252802
tcp_setup_ratio,0.3626834480235006
tcp_setup_diff,0.3611842242868888
djit,0.35810874184637465
dloss,0.35663379984334265
sjit,0.3544011724078642
jit_ratio,0.34890898531872105
state,0.32016357231109094
sloss,0.3055801766489732
window_product,0.20175906027478874
swin,0.2013040994459976
dtcpb,0.19490200702670002
stcpb,0.1934835096482721
dwin,0.18448736433121393
response_body_len,0.07301704348548421
response_body_len_log,0.06703118080078152
ct_flw_http_mthd,0.045726218901540605
trans_depth,0.03658449392882002
is_sm_ips_ports,0.01787604999204362
window_diff,0.010577030441160318
ct_ftp_cmd,0.01032143371601979
is_ftp_login,0.008129847230996745
